Candidate,Party,Type,Date,Title,Speech
George Pataki,R,p,"June 10, 2015",Press Release - George Pataki on Common Core,"I believe in laying out my opinions and ideas about ""the issues"" in front of the American people. In the coming months, you are going to hear my opinion on a number of topics. When I assess the issues surrounding the 2016 Presidential Race, one of the subjects I am asked about frequently is Common Core.Watch me address that issue here (or below):"
George Pataki,R,p,"June 16, 2015",Press Release - Son-in-Law Stroke,"As many of you know or have heard, our son-in-law David has suffered a stroke. We have received so many letters and emails asking for an update on his health. . . Thank you! Your prayers and words of encouragement mean so much to our family. While we have seen many miraculous improvements over the past few days, David has a long and difficult path to recovery ahead. As I return to the campaign trail, we just want to thank everyone for your incredible support and ask that you please keep David and Allie in your prayers.Here is an interview update on a number of issues and on David's health."
George Pataki,R,p,"June 18, 2015",Press Release - Pataki Says Washington Killing American Dream,"Philly.com ArticleAn overbearing federal government in Washington is squelching the American Dream, former New York Gov. George Pataki warned in a speech Thursday afternoon in Center City Philadelphia.The Republican presidential candidate noted that six of the 10 wealthiest counties in the U.S. surround the capital city - and that's not a good thing, he said.""What do they make in Washington D.C.? They make credits and exemptions and laws and regulations,"" Pataki said at the opening session of the Northeast Republican Leadership Conference at the Sheraton Philadelphia Downtown Hotel.And most of that product is aimed at smoothing the way for insiders to amass more wealth and power, Pataki said. ""The government has become a captive of an inner-beltway mentality of lobbyists and lawyers, the rich and the powerful,"" he said. ""They have stopped serving the American people.""Pataki, 69, served three terms as governor of ultra-blue New York from 1995-2003. He has moderate views on social issues - he favors abortion rights, for instance, in a party that is mostly opposed - but reminded several hundred conferees that he had been a fiscal conservative, cutting taxes and shrinking the state workforce by more than 15 percent.As for Washington, he said he'd shrink the size of the federal government. And he said he would push to ban members of the House and Senate from lobbying - for life.Pataki was the first of several presidential candidates to pitch to the activists at the leadership conference. Tomorrow, New Jersey Gov. Chris Christie, former Pennsylvania Sen. Rick Santorum, Sen. Lindsey Graham of South Carolina and Carly Fiorina, the former chief executive of Hewlett-Packard, are all scheduled to speak Friday. Wisconsin Gov. Scott Walker is due in Saturday.Read more at http://www.philly.com/philly/blogs/big_tent/Pataki-says-Washington-killing-American-Dream.html"
George Pataki,R,p,"June 22, 2015","Press Release - Boston Herald: Pataki Slams Clinton Over Emails, Chinese Hackers","LISTEN TO THE INTERVIEW FROM BOSTON HERALD RADIO HERE Former New York Gov. George Pataki slammed Democratic front-runner Hillary Clinton today for ""probably"" breaking the law by erasing emails on a private server that likely left information open to Chinese hackers.""It's clear to me that having that home server not only violated State Department rules and regulations, deleting those emails was probably a crime because she had good reason to know that Congress wanted to see what was in them,"" Pataki said on Boston Herald Radio today. ""But what is most disturbing to me is that the Chinese in all likelihood know what every one of those 30,000 emails said. The American people don't, Congress doesn't, the State Department don't, that is wrong.""Pataki also criticized New Hampshire television station WMUR for not pressing Clinton harder during a one-on-one last week when she lamented the vulnerability of the State Department's servers, but never mentioned her own.""That's exactly the question that any decent reporter would ask if they were trying to get to really learn something and get some real answers,"" said Pataki, who made the comments on Boston Herald Radio's ""Morning Meeting"" show hosted by Hillary Chabot and Jaclyn Cashman. ""And I can't believe they didn't ask it. Well actually I can believe they didn't ask it.""Pataki claimed the entire incident shows that Clinton is more concerned about her own political reputation than protecting the security of sensitive information.""Clearly Hillary's basement server isn't going to have that level of protection,"" she added. ""It was grossly irresponsible for her to do this. It poses a tremendous security risk to America. But more importantly, it raises questions about her judgment in so many ways. She is so concerned about her political career that she will jeopardize critical American communications.""Pataki went on to criticize both former President Bill Clinton and Hillary Clinton for rhetoric on helping the middle class, all while their charity, the Clinton Health Access Initiative has accepted between $1 million and $10 million from the Cameroon Baptist Convention Health Board since 2010, according to a report earlier this month in the Daily Mail.""And you want to talk about privilege, Bill Clinton takes a very poor African country, Cameroon, and takes $10 million from them so that he and Hillary can fly around in private jets and have expensive dinners at the expense of one of the poorest countries and the people of that country on the planet,"" said Pataki. ""Talk about privilege, talk about wrong -- that is wrong and so is Hillary Clinton.""Originally Published on BostonHerald.com"
George Pataki,R,p,"June 22, 2015",Press Release - Picnic with Pataki,"Join us for a Picnic with Pataki!Enjoy lunch on us while you have an open discussion with Governor Pataki about his plans for the future of America!The Governor will be ""brown bagging"" it all across New Hampshire this summer and he's coming to you! Sign up to host a ""Picnic with Pataki!""Just tell us where you'd like him to be, gather a few friends and lunch is on us! Complete the host form here.Get New Hampshire Updates via EmailStay in the Loop about future picnics and other New Hampshire events, sign up here."
George Pataki,R,p,"June 22, 2015",Press Release - FOX NEWS: Pataki's Solution to Cleaning Up Potential ObamaCare Chaos,"If the Supreme Court throws out #Obamacare we should use ERISA, essentially COBRA for 18 months, as a bridge to bridge the transition those who are currently insured and ensure they don't have an interruption in their healthcare.Si el Corte Supremo echa #Obamacare, debemos usar ERISA, essencialmente COBRA por 18 meses, para facilitar una trasition para la gente que hoy estan cobrados y para asegurarnos que no tengan interruption en su asistencia mdica.Watch this Fox News interview:"
George Pataki,R,p,"June 23, 2015",Press Release - Times Union: Pataki's Call for Bipartisan Approach Shows a True Leader,"By Jon M. Huntsman, Jr. and Joe LiebermanWhen George Pataki announced that he'd make a run for president, he surprised a lot of people. Without a strong base, without firm support from Republicans, many dubbed his run a ""long shot."" But his message of bipartisanship is a winner.Pataki's four-minute campaign announcement video touched on his experience and his background, but mostly on his insistence that partisanship has no business in his politics. This message distinguishes Pataki from the other candidates in play by making a bipartisan approach to politics central to his campaign, but it's a message that all candidates  and voters  should heed.Pataki insists that D.C. is broken, and a simple survey of Congress tells us he's right. We've seen a government shut down in 2014 due to partisan politics, and a favoring of filibusters over collaboration. Rhetoric has been ratcheted up and teamwork has broken down. And a recent Gallup poll shows that Americans give the 114th Congress an approval rating of just 16 percent.Things need to change.And it seems Pataki, though the most vocal, isn't the only candidate who has recognized the need for this change. We've heard candidates make allusions to their willingness to work with the opposition should they be elected  though none as vocal as Pataki thus far. The idea of bipartisanship is creeping slowly into campaign promises. And this is what we at No Labels want to see more of  more candidates who are unafraid to commit to a different kind of politics. No Labels is committed to fixing the broken politics of Washington by encouraging our politicians to work together, to put the needs of the nation above the needs of the party. We believe a message like Pataki's is a good place to start.There has been an obvious drought of bipartisanship in Congress in the last several years, but we are just beginning to see signs of progress. Our senators and representatives, when making those steps toward teamwork, rebuild trust across the aisle and prove the efficacy of their labor. When Republicans and Democrats put aside their political differences, the good of the nation becomes a top priority. We need a president who will foster that collaborative environment.We need more of this message, and less of the status quo.The status quo has proven itself ineffective and has left Americans face to face with some serious issues. Our next president must be ready to work side by side with conservatives, liberals and independents if we want to address these top concerns because, as time has proven, no party has been able to resolve these alone.It is our belief that through a bipartisan approach, our next president can cultivate a collaborative environment in Congress and build a framework to address the four issues that Americans have identified as the most problematic. We've created a National Strategic Agenda aimed at addressing these issues, which encourages Congress to work together to create 25 million new jobs over the next 10 years, secure Social Security and Medicare for another 75 years, balance the federal budget by 2030 and make America energy secure by 2024.These are massive undertakings, but the solution lies in a bipartisan approach from both the next president and Congress.We applaud Pataki's bipartisan platform, and any other candidates who echo these sentiments. But we need to go beyond campaign promises and sound bytes  we need to dig deeper into those one-liners and question how these candidates believe they will get there. The answers could catapult a long-shot candidate into a winning bid, or move a sure-thing candidate to the back burner. Americans have the power to determine who best represents our interests and goals, and we will continue to press our candidates for answers. We require more than promises  we expect a framework for actualizing bipartisan goals.We won't stop until we get one.Jon M. Huntsman Jr. is a former Republican governor of Utah. Joe Lieberman is a former Democratic U.S. senator from Connecticut.See the article here at the Times Union "
George Pataki,R,p,"June 23, 2015",Press Release - NEWSMAX: George Pataki: Race Relations Started Backwards When Holder Embraced Sharpton,George Pataki joins Steve Malzberg on everything from upcoming SCOTUS rulings to SC Flag controversy. Watch below or here.
George Pataki,R,p,"June 25, 2015",Press Release - FOX NEWS: Pataki on Obamacare,"While I'm disappointed the Supreme Court has again stretched to find a way to save Obamacare, the decision simply makes plain the need to repeal it and it's broken promises and replace it with a patient-centric, market-based system like we did when I was Governor of New York."
George Pataki,R,p,"June 25, 2015",Press Release - Union Leader: Pataki Emphasizes Traditional Politics and Cookies at Robie's,"View this article on UnionLeader.com here.By CYRUS MOULTONUnion Leader CorrespondentHOOKSETT  Former New York governor and Republican primary candidate George Pataki mixed the local and national political traditions in a visit to Robie's Country Store in Hooksett Wednesday, praising Robie's chocolate chip cookies as a campaign snack while also emphasizing traditions of small, local government and non-partisan governance.""Elections are partisan, I want to be the Republican candidate, and the Republican nominee, and win the election on the Republican line,"" Pataki said. ""But governing is not. Governing is about solving problems and putting people before politics, and if I have the opportunity to lead, that's what I will do.""Pataki joined the already crowded Republican presidential nominee race in May, presenting himself as the three-term governor of New York who led the state through the aftermath of the Sept. 11, 2001, terrorist attacks and launching a campaign with the slogan ""People Over Politics.""In meeting with voters at the historic general store, which is only opened about once a month to maintain its license and in hopes of remaining a turnkey operation for a future owner, Pataki emphasized moderate Republican stances in answering questions posed by locals.He decried a gap between educational opportunities and training and local jobs, saying that the country needed to have ""a lot more respect for the community college"" system and trade jobs that lead to ""a very good career.""He also indicated support for education waivers for parents with kids in failing public schools, presenting it as a social-justice issue.""We trap too many low-income kids, particularly low-income minority children, in schools in communities, largely urban schools, where teachers can't teach and the schools can't educate and we know that that's the case,"" Pataki said. ""And yet we tell those poor parents we're not going to give your kids a choice. They are going to have to go to this government school that can't educate their kid. You're putting those children behind the eight ball.""Pataki also advocated tax reform, calling the tax code ""74,600 pages of incomprehensible lawyer-written lobbyist-driven gobbledygook"" and urging ""we throw it all out"" and devise a system that ""functions for the people, not the special interests.""Washington, in fact, came under frequent criticism. Pataki described it as ""going to a foreign planet"" and warned that as ""banks were too big to fail, federal government is becoming too big to succeed.""Yet Pataki also acknowledged that government had a role. Responding to a question about food safety, Pataki noted he was a farmer who depended on the Food and Drug Administration to ensure food safety, and he was in the process of certifying his farm to have free-range, antibiotic-free cattle.But Pataki repeatedly emphasized that government was out-of-touch with regular citizens. He mentioned Obamacare as one of the ""awful laws"" and said it, Social Security and any other law Congress passes should be followed by legislators.""If Congress passes a law that applies to the American people, it should apply to Congress and their staffs as well,"" Pataki said.Hooksett resident Tina Paquette, who said her cat is named after the governor, didn't think that would work.""That's a hard sell,"" Paquette said.""Let them go back to the people and say 'I think I should be exempt,'"" Pataki responded, after remarking ""poor cat"" and wondering if the cat was ""verbally slow.""As for his rivals, Pataki tried to stay above the fray. He said he would be at the New Hampshire Union Leader's Aug. 6 forum and said the ""the rules are what the rules are"" for Fox's first prime-time debate criteria, where Pataki's low national polling precludes him from participating.""I would love to be there, but if I'm not, then I'll keep going,"" Pataki said when asked about whether the debate criteria was fair."
George Pataki,R,p,"July 1, 2015",Press Release - FOX NEWS: Donald Trump is Wrong,My fellow Republicans say we have to appeal to the Latino vote but are afraid to say Donald Trump is wrong.
George Pataki,R,p,"July 2, 2015","Press Release - FOX NEWS: GOP Needs to Dump Trump, Fight for Dignity of America","Every country must protect their borders. What Trump did went far beyond that, attacking Mexicans. Watch me Stand up to Trump here:"
George Pataki,R,p,"July 2, 2015",Press Release - Watch: Presidential Candidate George Pataki Speaking At Chai Lifeline Event,From www.theyeshivaworld.com
George Pataki,R,p,"July 2, 2015",Press Release - Presidential Candidate George Pataki Attends Multiple Jewish Events In NY And NJ,"As of yesterday, the GOP had 14 presidential hopefuls vying for the Republican Party's nomination next July in Cleveland. Though if you ask attendees at yesterday's highly successful Chai Lifeline event in NY & town-hall-style 'meet & greet"" later that day in Teaneck, they'll tell you the party actually has 13 hopefuls and one very sure thing. His name? Former NYS Governor George Pataki.The Governor, who entered the race in late May, has been connecting with both voters and donors via a campaign style that brings to mind the legendary campaign he ran in 1994 when he beat 3 time incumbent NYS Governor and the Democratic party's poster boy Mario Cuomo. ""When it comes to campaigning, the Governor is about people not polling-when he connects with someone, there's no margin of error, or demographic sample to consider-the voter senses they're dealing with someone who is ""real"" and shares their hopes and concerns for our country and it's allies"" explained an aide.""Additionally he thrives on proving the conventional wisdom and polling wrong. In 1994 he was an upstate Republican that literally came out of nowhere to challenge...View the full article with photos on The YESHIVA World here."
George Pataki,R,p,"July 5, 2015","Press Release - WMUR: Pataki, Jindal Address Trump's Comments at New Hampshire Picnic","Presidential candidates flocked to the Granite State during the July Fourth weekend.Former New York Gov. George Pataki and Louisiana Gov. Bobby Jindal attended a cookout hosted by the Merrimack County Republican Committee. The event was low-key and gave both Republican candidates the chance to talk one on one with voters.Both candidates had something to say about recent comments from Republican challenger Donald Trump.""I am disappointed he (Trump) hasn't seen that it was a stupid and wrong comment,"" Pataki said. ""I have and...Read the Full article at WMUR here."
George Pataki,R,p,"July 6, 2015",Press Release - NECN: George Pataki Challenges Donald Trump to Immigration Policy Debate in New Hampshire,"George Pataki is challenging fellow 2016 Republican presidential candidate Donald Trump to a one-on-one debate on immigration policy in New Hampshire.""Donald Trump has a lot to say about the problems with illegal immigrants, but aside from name calling Mexicans and hurling insults at me and some of our other opponents the American people have yet to hear anything resembling a real plan,"" Pataki said during a reporter roundtable on immigration policy in Manchester on Monday.""I say, let's go 'mano a mano' on immigration policy,"" Pataki added. ""Let's get past the name calling and have a real substantive discussion.""An email to Trump's campaign seeking...Read the rest of the article on NECN here."
George Pataki,R,p,"July 6, 2015",Press Release - WMUR: Pataki Challenges Trump to 'Mano a Mano' Immigration Debate,"Former New York governor says his plan for community service is not amnestyFormer New York Gov. George Pataki Monday challenged fellow Republican presidential candidate Donald Trump to a one-on-one, ""mano a mano"" debate on immigration policy in New Hampshire, calling the real estate executive's comments about Mexican immigrants ""completely stupid"" and ""completely unacceptable to any person in the 21st century.""Trump has been taking heat from some of the other Republicans running for president since he said while announcing his candidacy on June 16, that Mexico is ""sending people that have lots of problems, and they're bringing those problems to us. They're bringing drugs. They're bringing crime. They're rapists. And some, I assume, are good people.""Pataki blasted Trump...Read full article on WMUR here."
George Pataki,R,p,"July 8, 2015",Press Release - Skimm Interview,"View The Skimm Article HereSKIMM YOUR CANDIDATE: FMR. GOV. GEORGE PATAKI (NY), REPUBLICANFormer Gov. George Pataki (R-NY) is one of 14 Republicans who want you to say ""yes"" togiving them the top job in the White House. Get to know your candidate here. Note: ALL candidates have been offered the chance to Guest Skimm. Opinions are of the candidate, not theSkimm.HOMETOWN:Peekskill, NYFUN FACT:You know, I'm a farm guy....whenever I get free time, I'm not out on the golf course, I'll be out on the farm weeding something, or picking something, or planting something...I love fruits.SO, WHY SHOULD AMERICA HIRE YOU?I think I have the right vision for the future of the country. I know that we can bring people together, stop dividing us for political benefit, and start uniting us for the people's benefit. I can appeal to Republican voters, but beyond that to a broader electorate. When I talk about reducing the size and the power and the influence of the federal government, and when I talk about reducing the tax and regulatory burden, when I talk about replacing dependency with opportunity....I did it in one of the bluest states in America.WHO SHOULD WE CALL FOR A REFERENCE?My dogs would be very supportive. Balto and Bradley. They think a great deal of me, I believe.WHERE DO YOU STAND ON THE FOLLOWING... THE ECONOMY.I think one of the tragedies of the last decade has been the hideously slow economic growth and the creation of jobs. It's not about the unemployment rate, it is about people's belief that they can have a career that is successful....one of the things I would focus on is lowering the tax and regulatory burden, taking advantage of the American work ethic, taking advantage of our lower energy prices, linking community colleges with industry in their area to create a base of manufacturing that will significantly expand economic opportunities and jobs for middle class Americans.THE AFFORDABLE CARE ACT (AKA OBAMACARE).I think it is a horrible law. I honestly think it is the worst law passed in my lifetime. We have a great healthcare system, but there were two issues pre-Obamacare: one, was it was too expensive for many people, and the second was, the unavailability of health care for too many Americans. Those issues could have been easily solved without disrupting the entire national healthcare system.STUDENT LOANS.College is way too expensive. I think that universities and colleges have gotten used to the fact that students don't object to higher tuition or fees because they borrow it....We have to work with universities...to lower the costs and to provide options for students, so you're not stuck paying this one flat level if you don't want certain services. The second thing the federal government should do is not make money off of student loans.GUN CONTROL.First of all, and I think this is often missed; mental health is a critical, critical component. We have to do more to expand mental health counseling, mental health preventative services, and have the ability to deal with those who quite obviously are in public and a threat in a way that we don't react tragically after the incident. The second thing with federal gun laws, is that we need to do a better job of enforcing them. It is illegal to bring a gun across state lines, and yet it happens all the time, and I don't understand why the federal government is not doing far more to prevent that.WOULD YOU CHANGE ANYTHING ABOUT HOW THE US IS HANDLING THIS WHOLE ISIS THING?I would change everything. I would directly train, support, arm, fund, and provide whatever assistance to the Peshmerga, the Kurdish military....I would ramp up the intelligence and surveillance and the bombing attacks against ISIS....No nation building, not a trillion dollar war, not a ten-year war, not hundreds of thousands of troops. If we need to strike to protect us here, do that and then get out.RIGHT TO CHOOSE. YES OR NO?I don't think politicians in Washington should tell a woman or a family what her decision must be.GAY MARRIAGE. YES OR NO?Up to the states. There are those in my party who are saying 'pass a constitutional amendment making it illegal.' I would vote against it.HOW MANY TIMES DO YOU HIT SNOOZE IN THE AM?I get up. I actually do. Somehow, if I have to do something early in the morning, my mind tells me that so I usually wake up beforehand.HOW DO YOU TAKE YOUR COFFEE?I have Diet Coke for breakfast. Don't let any doctor read that.WHAT WOULD YOU ASK THE WHITE HOUSE CHEF TO MAKE FOR YOUR FIRST MEAL?Probably pizza, with sausage and mushroom. Hey, I'm part Italian, I love pizza.Read The Skimm Here"
George Pataki,R,p,"July 8, 2015","Press Release - CNN: Pataki Challenges Trump to Debate on Immigration, as Trump Slams Critics","Former New York Gov. George Pataki challenged Donald Trump to a one-on-one debate on immigration Monday in New Hampshire, saying he wants to hear a real plan for reform from Trump, not ""name calling"" and ""insults.""As the two vie for the Republican presidential nomination, Pataki has taken the lead in repudiating remarks Trump has repeatedly made regarding illegal immigrants migrating into the United States.On Monday, Trump released a statement restating the controversial comments he made almost three weeks ago when he announced he was running for president.""What can be simpler or more accurately stated? The Mexican Government is forcing their most unwanted people into the United States. They are, in many cases, criminals, drug dealers, rapists, etc.,"" Trump's statement said.""It wasn't until a week after my announcement that people...VIEW the rest of this article on CNN here."
